        BP2000 Sound Speeds 

       R/R_sun    Sound speed
                     (km/s)

    0.537638    285.841
    0.539515    285.201
    0.541395    284.562
    0.543277    283.923
    0.545162    283.285
    0.547049    282.647
    0.548939    282.009
    0.550831    281.372
    0.552726    280.736
    0.554623    280.099
    0.556522    279.463
    0.558424    278.827
    0.560328    278.192
    0.562234    277.556
    0.564142    276.921
    0.566053    276.286
    0.567967    275.651
    0.569882    275.016
    0.571800    274.381
    0.573719    273.746
    0.575641    273.111
    0.577565    272.475
    0.579492    271.839
    0.581420    271.203
    0.583350    270.567
    0.585282    269.930
    0.587217    269.293
    0.589153    268.655
    0.591091    268.017
    0.593031    267.378
    0.594972    266.738
    0.596916    266.097
    0.598861    265.455
    0.600808    264.813
    0.602756    264.169
    0.604707    263.524
    0.606658    262.878
    0.608611    262.231
    0.610566    261.583
    0.612522    260.934
    0.614479    260.284
    0.616437    259.632
    0.618397    258.979
    0.620358    258.324
    0.622320    257.669
    0.624283    257.011
    0.626247    256.353
    0.628211    255.693
    0.630177    255.031
    0.632143    254.368
    0.634110    253.703
    0.636078    253.036
    0.638046    252.367
    0.640015    251.697
    0.641984    251.024
    0.643953    250.350
    0.645923    249.673
    0.647892    248.994
    0.649862    248.312
    0.651832    247.629
    0.653801    246.942
    0.655770    246.252
    0.657739    245.560
    0.659708    244.863
    0.661676    244.164
    0.663643    243.460
    0.665609    242.752
    0.667574    242.040
    0.669539    241.324
    0.671502    240.603
    0.673464    239.879
    0.675424    239.151
    0.677383    238.419
    0.679340    237.682
    0.681295    236.941
    0.683248    236.195
    0.685199    235.443
    0.687148    234.685
    0.689094    233.921
    0.691037    233.150
    0.692978    232.371
    0.694639    231.696
    0.695122    231.498
    0.695606    231.300
    0.696088    231.101
    0.696571    230.902
    0.697054    230.702
    0.697536    230.501
    0.698018    230.300
    0.698500    230.098
    0.698981    229.896
    0.699463    229.693
    0.699944    229.489
    0.700425    229.284
    0.700905    229.079
    0.701386    228.873
    0.701866    228.666
    0.702345    228.458
    0.702825    228.250
    0.703304    228.041
    0.703783    227.831
    0.704262    227.620
    0.704740    227.409
    0.705219    227.196
    0.705696    226.983
    0.706174    226.769
    0.706651    226.553
    0.707128    226.337
    0.707605    226.120
    0.708081    225.902
    0.708557    225.683
    0.709032    225.463
    0.709508    225.242
    0.709983    225.020
    0.710457    224.797
    0.710931    224.573
    0.711405    224.347
    0.711879    224.120
    0.712352    223.893
    0.712824    223.663
    0.713297    223.433
    0.713769    223.201
    0.714241    222.945
    0.714712    222.689
    0.715183    222.433
    0.715654    222.177
    0.716124    221.921
    0.716594    221.666
    0.717063    221.411
    0.717531    221.157
    0.717999    220.903
    0.718467    220.649
    0.718934    220.395
    0.719400    220.141
    0.719866    219.888
    0.720331    219.636
    0.720796    219.383
    0.721261    219.131
    0.721725    218.879
    0.722188    218.627
    0.722651    218.376
    0.723113    218.125
    0.723575    217.874
    0.724036    217.623
    0.724497    217.373
    0.724957    217.123
    0.725417    216.873
    0.725876    216.624
    0.726335    216.375
    0.726793    216.126
    0.727251    215.877
    0.727708    215.629
    0.728165    215.381
    0.728621    215.133
    0.729076    214.886
    0.729532    214.639
    0.729986    214.392
    0.730440    214.145
    0.730891    213.900
    0.732700    212.918
    0.734501    211.940
    0.736293    210.967
    0.738076    209.999
    0.739852    209.035
    0.741619    208.076
    0.743377    207.121
    0.745127    206.171
    0.746869    205.225
    0.748602    204.283
    0.750326    203.346
    0.752043    202.413
    0.753750    201.485
    0.755450    200.560
    0.757141    199.640
    0.758823    198.725
    0.760497    197.813
    0.762162    196.906
    0.763819    196.003
    0.765467    195.104
    0.767107    194.209
    0.768738    193.318
    0.770361    192.431
    0.771975    191.548
    0.773581    190.670
    0.775178    189.795
    0.776767    188.924
    0.778347    188.058
    0.779919    187.195
    0.781482    186.336
    0.783037    185.481
